date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:24:57	18962/18962	---MCZ	200	added ('OK')	text/css	etag:W/%224a12-57bbba7b04080%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/footable/css/footable.standalone.min.css	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/footable/css/footable.standalone.min.css	(from http://html.codedthemes.com/datta-able/bootstrap/default/tbl_foo.html)
20:25:00	82382/82382	---MCZ	200	added ('OK')	application/javascript	etag:W/%22141ce-57bbba7b04080%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/footable/js/footable.min.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/footable/js/footable.min.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/tbl_foo.html)
20:25:07	202189/202189	---MCZ	200	added ('OK')	application/javascript	etag:W/%2231856-57bbba7733780%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/chart-am4/js/charts.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/chart-am4/js/charts.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/chart-am.html)
20:25:08	900/900	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260f-57bbba7733780%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/chart-am4/js/animated.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/chart-am4/js/animated.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/chart-am.html)
20:25:08	263057/263057	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Dec%202018%2017:15:58%20GMT	http://html.codedthemes.com/datta-able/bootstrap/default/index-chart-package.html	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/default/index-chart-package.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/chart-am.html)
20:25:11	59788/59788	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ec14-57bbba7733780%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/chart-am4/js/maps.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/chart-am4/js/maps.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/chart-am.html)
20:25:16	672332/672332	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a44d6-57bbba7733780%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/chart-am4/js/core.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/chart-am4/js/core.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/chart-am.html)
20:25:16	7522/7522	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f48-57bbba7362e80%22	http://html.codedthemes.com/datta-able/bootstrap/assets/js/pages/chart-am-custom.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/js/pages/chart-am-custom.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/chart-am.html)
20:25:18	10280/10280	---MCZ	200	added ('OK')	application/javascript	etag:W/%224230-57bbba7362e80%22	http://html.codedthemes.com/datta-able/bootstrap/assets/js/pages/chart-chart-custom.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/js/pages/chart-chart-custom.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/chart-chartjs.html)
20:25:20	99/99	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2025%20Sep%202019%2023:25:21%20GMT	http://echarts.baidu.com/echarts2/doc/example/timelineOption.js	C:/Users/Cleitom/Desktop/site/.systemplate/echarts.baidu.com/echarts2/doc/example/timelineOption.15d.delayed	(from http://html.codedthemes.com/datta-able/bootstrap/default/chart-echart.html)
20:25:22	159638/159638	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226f96-57bbba7733780%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/chart-chartjs/js/Chart.min.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/chart-chartjs/js/Chart.min.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/chart-chartjs.html)
20:25:24	264393/264393	---MCZ	200	added ('OK')	application/javascript	etag:W/%2240b54-57bbba7733780%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/chart-am4/js/worldLow.js	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/chart-am4/js/worldLow.js	(from http://html.codedthemes.com/datta-able/bootstrap/default/chart-am.html)
